payment_id,transaction_id,payment_method,amount_paid
1,1,Gotovina,3.3
2,2,Kartica,80.5
3,3,Kartica,14.4
4,4,Gotovina,38.4
5,5,Gotovina,25.9
6,6,Gotovina,39.87
7,7,Gotovina,11.6
8,8,Kartica,42.99
9,9,Kartica,220.17
10,10,Gotovina,22.5
11,11,Gotovina,28.5
12,12,Kartica,56.26
13,13,Gotovina,39.48
14,14,Gotovina,47.9
15,15,Kartica,104.12
16,16,Kartica,52.98
17,17,Gotovina,30.7
18,18,Gotovina,16.5
19,19,Kartica,11.2
20,20,Gotovina,23.0
21,21,Kartica,9.9
22,22,Kartica,57.49
23,23,Gotovina,91.87
24,24,Kartica,27.0
25,25,Kartica,28.4
26,26,Gotovina,41.18
27,27,Kartica,25.0
28,28,Gotovina,25.5
29,29,Gotovina,45.1
30,30,Kartica,9.6
31,31,Gotovina,81.3
32,32,Gotovina,14.7
33,33,Kartica,35.7
34,34,Kartica,23.2
35,35,Kartica,218.67
36,36,Gotovina,81.95
37,37,Gotovina,52.16
38,38,Gotovina,15.6
39,39,Kartica,138.12
40,40,Gotovina,25.08
41,41,Gotovina,46.4
42,42,Kartica,44.38
43,43,Gotovina,69.95
44,44,Kartica,36.0
45,45,Gotovina,6.6
46,46,Gotovina,20.3
47,47,Kartica,3.1
48,48,Kartica,37.0
49,49,Kartica,73.96
50,50,Kartica,39.96
51,51,Kartica,5.5
52,52,Kartica,56.09
53,53,Kartica,45.5
54,54,Kartica,123.47
55,55,Kartica,32.5
56,56,Kartica,20.98
57,57,Kartica,26.7
58,58,Gotovina,62.07
59,59,Kartica,9.2
60,60,Gotovina,29.95
61,61,Kartica,69.17
62,62,Gotovina,37.9
63,63,Gotovina,67.4
64,64,Gotovina,61.88
65,65,Gotovina,41.6
66,66,Gotovina,35.5
67,67,Kartica,85.47
68,68,Kartica,31.38
69,69,Kartica,82.1
70,70,Kartica,29.28
71,71,Kartica,75.57
72,72,Kartica,45.5
73,73,Kartica,75.17
74,74,Gotovina,4.4
75,75,Kartica,15.2
76,76,Kartica,23.0
77,77,Kartica,39.95
78,78,Kartica,9.3
79,79,Kartica,43.98
80,80,Gotovina,35.1
81,81,Gotovina,24.4
82,82,Gotovina,38.2
83,83,Gotovina,42.7
84,84,Kartica,39.96
85,85,Kartica,55.1
86,86,Gotovina,5.6
87,87,Gotovina,21.5
88,88,Gotovina,17.5
89,89,Gotovina,21.99
90,90,Kartica,28.98
91,91,Kartica,4.0
92,92,Kartica,11.0
93,93,Gotovina,16.5
94,94,Gotovina,27.3
95,95,Kartica,120.35
96,96,Gotovina,12.5
97,97,Gotovina,17.3
98,98,Gotovina,70.5
99,99,Kartica,12.3
100,100,Gotovina,55.2
101,101,Kartica,31.3
102,102,Gotovina,146.08
103,103,Kartica,16.6
104,104,Kartica,82.0
105,105,Kartica,24.5
106,106,Gotovina,38.5
107,107,Gotovina,177.66
108,108,Kartica,64.1
109,109,Kartica,36.1
110,110,Gotovina,102.9
111,111,Gotovina,60.46
112,112,Gotovina,54.8
113,113,Gotovina,44.0
114,114,Gotovina,14.4
115,115,Kartica,32.4
116,116,Kartica,2.8
117,117,Kartica,26.9
118,118,Kartica,33.4
119,119,Gotovina,7.8
120,120,Kartica,54.06
121,121,Gotovina,243.52
122,122,Gotovina,55.48
123,123,Kartica,40.0
124,124,Gotovina,24.0
125,125,Kartica,9.0
126,126,Kartica,31.8
127,127,Kartica,17.5
128,128,Gotovina,253.45
129,129,Kartica,35.2
130,130,Gotovina,30.8
131,131,Gotovina,102.62
132,132,Gotovina,93.36
133,133,Kartica,21.4
134,134,Gotovina,36.9
135,135,Kartica,1.2
136,136,Gotovina,30.7
137,137,Kartica,9.6
138,138,Kartica,74.95
139,139,Gotovina,238.86
140,140,Kartica,28.39
141,141,Gotovina,35.58
142,142,Gotovina,172.18
143,143,Gotovina,26.8
144,144,Gotovina,59.29
145,145,Gotovina,3.0
146,146,Kartica,2.5
147,147,Kartica,21.0
148,148,Kartica,39.2
149,149,Gotovina,26.8
150,150,Kartica,14.1
151,151,Kartica,55.16
152,152,Kartica,8.5
153,153,Kartica,38.3
154,154,Gotovina,18.8
155,155,Gotovina,68.18
156,156,Kartica,119.64
157,157,Gotovina,89.97
158,158,Gotovina,47.9
159,159,Gotovina,8.2
160,160,Kartica,26.4
161,161,Gotovina,4.0
162,162,Kartica,40.6
163,163,Kartica,140.85
164,164,Kartica,17.0
165,165,Kartica,4.5
166,166,Gotovina,14.3
167,167,Kartica,18.5
168,168,Gotovina,36.8
169,169,Kartica,27.5
170,170,Kartica,4.5
171,171,Kartica,14.9
172,172,Gotovina,25.1
173,173,Gotovina,66.59
174,174,Gotovina,21.9
175,175,Gotovina,35.27
176,176,Kartica,60.65
177,177,Gotovina,23.1
178,178,Gotovina,34.9
179,179,Gotovina,7.0
180,180,Kartica,23.7
181,181,Gotovina,4.9
182,182,Kartica,32.5
183,183,Kartica,111.0
184,184,Gotovina,29.2
185,185,Kartica,26.97
186,186,Kartica,178.22
187,187,Kartica,17.5
188,188,Kartica,14.0
189,189,Kartica,26.0
190,190,Kartica,57.2
191,191,Kartica,9.6
192,192,Gotovina,3.0
193,193,Gotovina,40.4
194,194,Kartica,21.2
195,195,Kartica,12.8
196,196,Gotovina,21.57
197,197,Gotovina,24.7
198,198,Gotovina,19.19
199,199,Gotovina,36.4
200,200,Kartica,86.95
201,201,Gotovina,64.3
202,202,Gotovina,41.9
203,203,Gotovina,23.9
204,204,Kartica,72.46
205,205,Gotovina,37.0
206,206,Gotovina,10.5
207,207,Gotovina,13.1
208,208,Gotovina,61.95
209,209,Kartica,31.5
210,210,Kartica,66.88
211,211,Gotovina,59.96
212,212,Gotovina,45.0
213,213,Kartica,27.5
214,214,Gotovina,37.0
215,215,Kartica,7.5
216,216,Kartica,12.9
217,217,Kartica,8.9
218,218,Gotovina,32.97
219,219,Gotovina,18.3
220,220,Kartica,26.4
221,221,Gotovina,33.5
222,222,Gotovina,55.4
223,223,Gotovina,49.5
224,224,Kartica,12.8
225,225,Kartica,129.48
226,226,Gotovina,63.8
227,227,Kartica,37.8
228,228,Kartica,42.5
229,229,Gotovina,75.35
230,230,Kartica,233.92
231,231,Kartica,35.8
232,232,Gotovina,13.4
233,233,Gotovina,13.2
234,234,Gotovina,72.5
235,235,Gotovina,3.2
236,236,Kartica,19.7
237,237,Gotovina,15.98
238,238,Kartica,20.8
239,239,Gotovina,33.55
240,240,Kartica,31.28
241,241,Kartica,15.9
242,242,Gotovina,28.4
243,243,Kartica,9.2
244,244,Kartica,18.5
245,245,Gotovina,37.7
246,246,Kartica,104.07
247,247,Gotovina,23.0
248,248,Gotovina,34.99
249,249,Kartica,21.48
250,250,Kartica,7.5
251,251,Kartica,41.6
252,252,Gotovina,35.3
253,253,Gotovina,20.4
254,254,Gotovina,66.0
255,255,Kartica,36.1
256,256,Gotovina,64.45
257,257,Kartica,2.8
258,258,Gotovina,36.5
259,259,Gotovina,20.1
260,260,Kartica,486.62
261,261,Kartica,4.2
262,262,Kartica,37.6
263,263,Gotovina,3.9
264,264,Gotovina,40.0
265,265,Kartica,30.1
266,266,Kartica,115.56
267,267,Gotovina,53.5
268,268,Gotovina,107.5
269,269,Gotovina,49.39
270,270,Kartica,31.2
271,271,Gotovina,25.2
272,272,Kartica,20.0
273,273,Gotovina,1.8
274,274,Gotovina,94.67
275,275,Kartica,17.6
276,276,Kartica,20.8
277,277,Gotovina,39.46
278,278,Gotovina,59.98
279,279,Gotovina,165.97
280,280,Kartica,93.77
281,281,Kartica,15.9
282,282,Gotovina,60.28
283,283,Kartica,116.25
284,284,Kartica,6.2
285,285,Kartica,21.5
286,286,Gotovina,14.7
287,287,Kartica,67.4
288,288,Gotovina,3.5
289,289,Gotovina,34.0
290,290,Kartica,16.4
291,291,Kartica,30.9
292,292,Kartica,66.0
293,293,Gotovina,154.47
294,294,Kartica,73.4
295,295,Kartica,124.44
296,296,Kartica,25.3
297,297,Kartica,17.0
298,298,Gotovina,57.65
299,299,Kartica,41.1
300,300,Kartica,199.37
301,301,Kartica,13.4
302,302,Kartica,31.9
303,303,Gotovina,32.5
304,304,Kartica,84.95
305,305,Gotovina,11.2
306,306,Kartica,15.6
307,307,Kartica,149.36
308,308,Gotovina,34.98
309,309,Gotovina,45.96
310,310,Gotovina,43.96
311,311,Gotovina,34.4
312,312,Kartica,7.7
313,313,Gotovina,19.6
314,314,Kartica,61.28
315,315,Kartica,42.0
316,316,Kartica,44.2
317,317,Kartica,38.5
318,318,Kartica,67.88
319,319,Kartica,48.8
320,320,Gotovina,63.8
321,321,Kartica,38.0
322,322,Gotovina,8.4
323,323,Gotovina,36.0
324,324,Kartica,137.75
325,325,Gotovina,40.7
326,326,Kartica,96.5
327,327,Gotovina,105.98
328,328,Kartica,135.74
329,329,Gotovina,24.3
330,330,Gotovina,23.4
331,331,Kartica,26.97
332,332,Kartica,85.77
333,333,Kartica,30.8
334,334,Gotovina,110.16
335,335,Kartica,29.6
336,336,Kartica,71.95
337,337,Gotovina,71.47
338,338,Kartica,19.0
339,339,Kartica,44.6
340,340,Gotovina,159.96
341,341,Gotovina,71.4
342,342,Gotovina,21.6
343,343,Gotovina,37.9
344,344,Gotovina,18.5
345,345,Gotovina,61.66
346,346,Kartica,136.73
347,347,Kartica,7.4
348,348,Kartica,28.2
349,349,Kartica,58.47
350,350,Kartica,55.15
351,351,Gotovina,38.8
352,352,Gotovina,17.9
353,353,Kartica,76.08
354,354,Kartica,11.5
355,355,Kartica,28.8
356,356,Kartica,22.3
357,357,Kartica,24.89
358,358,Kartica,24.3
359,359,Gotovina,21.9
360,360,Kartica,22.0
361,361,Kartica,200.66
362,362,Gotovina,11.2
363,363,Kartica,9.0
364,364,Gotovina,140.96
365,365,Gotovina,10.0
366,366,Gotovina,12.5
367,367,Kartica,4.0
368,368,Kartica,32.28
369,369,Kartica,4.9
370,370,Kartica,13.98
371,371,Kartica,42.5
372,372,Kartica,9.7
373,373,Gotovina,23.3
374,374,Kartica,20.1
375,375,Kartica,43.2
376,376,Gotovina,50.2
377,377,Gotovina,10.9
378,378,Kartica,6.0
379,379,Gotovina,9.0
380,380,Gotovina,54.66
381,381,Kartica,79.75
382,382,Gotovina,43.4
383,383,Kartica,25.4
384,384,Kartica,12.2
385,385,Gotovina,8.8
386,386,Gotovina,104.97
387,387,Gotovina,11.6
388,388,Kartica,254.9
389,389,Gotovina,26.4
390,390,Gotovina,47.4
391,391,Kartica,85.16
392,392,Gotovina,17.97
393,393,Kartica,3.0
394,394,Kartica,9.0
395,395,Kartica,11.0
396,396,Gotovina,8.0
397,397,Kartica,17.5
398,398,Gotovina,34.1
399,399,Kartica,29.6
400,400,Kartica,14.0
401,401,Gotovina,7.5
402,402,Gotovina,60.0
403,403,Gotovina,133.73
404,404,Gotovina,16.3
405,405,Gotovina,3.6
406,406,Kartica,1.5
407,407,Kartica,45.9
408,408,Gotovina,2.8
409,409,Kartica,12.5
410,410,Gotovina,14.0
411,411,Gotovina,107.47
412,412,Kartica,4.9
413,413,Kartica,17.5
414,414,Kartica,8.3
415,415,Kartica,12.5
416,416,Gotovina,4.5
417,417,Kartica,6.8
418,418,Kartica,169.68
419,419,Gotovina,24.5
420,420,Gotovina,65.48
421,421,Kartica,2.4
422,422,Kartica,19.6
423,423,Kartica,32.0
424,424,Gotovina,17.3
425,425,Gotovina,43.47
426,426,Kartica,24.5
427,427,Gotovina,45.59
428,428,Gotovina,13.1
429,429,Kartica,32.49
430,430,Gotovina,51.99
431,431,Gotovina,90.78
432,432,Gotovina,199.96
433,433,Kartica,19.5
434,434,Gotovina,114.99
435,435,Kartica,22.5
436,436,Gotovina,71.3
437,437,Kartica,74.37
438,438,Kartica,156.42
439,439,Gotovina,3.0
440,440,Kartica,1.5
441,441,Gotovina,76.4
442,442,Gotovina,101.49
443,443,Kartica,18.0
444,444,Kartica,22.9
445,445,Kartica,10.5
446,446,Kartica,94.4
447,447,Kartica,7.0
448,448,Kartica,100.48
449,449,Kartica,58.99
