transaction_id,store_id,customer_id,transaction_date,total_amount
1,9,847,2025-05-25,3.3
2,2,,2025-05-27,80.5
3,3,629,2025-05-14,14.4
4,9,295,2025-05-16,38.4
5,2,85,2025-05-11,25.9
6,5,,2025-05-06,39.87
7,8,58,2025-05-18,11.6
8,5,,2025-05-12,42.99
9,4,,2025-06-02,220.17
10,4,,2025-05-28,22.5
11,2,28,2025-05-10,28.5
12,5,,2025-05-08,56.26
13,2,548,2025-05-26,39.48
14,5,145,2025-05-06,47.9
15,9,,2025-05-23,104.12
16,6,568,2025-05-12,52.98
17,1,149,2025-05-14,30.7
18,1,,2025-05-26,16.5
19,1,714,2025-05-21,11.2
20,2,974,2025-06-02,23.0
21,5,,2025-05-11,9.9
22,8,801,2025-05-17,57.49
23,9,,2025-05-17,91.87
24,1,,2025-05-07,27.0
25,9,,2025-05-22,28.4
26,1,,2025-05-22,41.18
27,2,,2025-05-26,25.0
28,1,,2025-05-21,25.5
29,3,254,2025-05-22,45.1
30,5,,2025-05-10,9.6
31,1,,2025-05-30,81.3
32,2,707,2025-05-25,14.7
33,9,,2025-05-29,35.7
34,4,,2025-05-10,23.2
35,1,,2025-06-01,218.67
36,1,,2025-05-16,81.95
37,2,,2025-05-24,52.16
38,5,,2025-05-07,15.6
39,7,,2025-05-17,138.12
40,1,,2025-05-27,25.08
41,2,307,2025-05-21,46.4
42,3,,2025-05-23,44.38
43,9,335,2025-06-01,69.95
44,1,525,2025-05-16,36.0
45,9,,2025-05-15,6.6
46,2,,2025-05-20,20.3
47,2,,2025-05-13,3.1
48,5,447,2025-05-23,37.0
49,7,,2025-05-24,73.96
50,2,,2025-05-24,39.96
51,10,,2025-05-19,5.5
52,7,,2025-05-10,56.09
53,9,,2025-05-09,45.5
54,1,,2025-05-08,123.47
55,10,266,2025-05-14,32.5
56,4,232,2025-05-15,20.98
57,2,,2025-05-17,26.7
58,1,,2025-05-08,62.07
59,9,966,2025-05-16,9.2
60,1,,2025-05-15,29.95
61,5,,2025-05-17,69.17
62,1,918,2025-05-09,37.9
63,1,985,2025-05-07,67.4
64,6,,2025-05-19,61.88
65,6,,2025-05-19,41.6
66,1,694,2025-05-20,35.5
67,5,859,2025-05-24,85.47
68,7,,2025-05-24,31.38
69,1,,2025-05-30,82.1
70,3,,2025-05-06,29.28
71,8,707,2025-05-15,75.57
72,5,,2025-05-08,45.5
73,8,69,2025-05-30,75.17
74,10,,2025-05-31,4.4
75,3,,2025-05-14,15.2
76,5,951,2025-05-11,23.0
77,2,,2025-05-08,39.95
78,3,,2025-05-26,9.3
79,10,,2025-05-19,43.98
80,5,,2025-05-20,35.1
81,3,,2025-05-22,24.4
82,1,,2025-05-26,38.2
83,2,,2025-05-16,42.7
84,2,612,2025-05-10,39.96
85,2,,2025-05-10,55.1
86,9,244,2025-05-10,5.6
87,1,,2025-05-24,21.5
88,10,142,2025-05-22,17.5
89,2,,2025-05-28,21.99
90,2,83,2025-05-07,28.98
91,3,,2025-05-15,4.0
92,2,184,2025-05-20,11.0
93,5,931,2025-05-22,16.5
94,6,298,2025-06-01,27.3
95,4,,2025-05-06,120.35
96,6,,2025-05-15,12.5
97,4,,2025-05-16,17.3
98,4,,2025-05-15,70.5
99,10,,2025-05-16,12.3
100,7,454,2025-05-20,55.2
101,1,,2025-05-07,31.3
102,10,877,2025-05-17,146.08
103,2,,2025-05-30,16.6
104,4,,2025-05-17,82.0
105,2,,2025-05-29,24.5
106,1,,2025-05-18,38.5
107,9,,2025-05-17,177.66
108,3,911,2025-05-11,64.1
109,1,602,2025-05-20,36.1
110,9,,2025-05-28,102.9
111,2,,2025-05-25,60.46
112,9,,2025-05-16,54.8
113,1,,2025-05-30,44.0
114,4,579,2025-06-03,14.4
115,6,,2025-05-30,32.4
116,1,122,2025-05-29,2.8
117,2,,2025-05-24,26.9
118,1,641,2025-05-31,33.4
119,2,,2025-05-07,7.8
120,3,,2025-05-16,54.06
121,10,940,2025-05-10,243.52
122,9,,2025-05-12,55.48
123,9,,2025-05-07,40.0
124,1,,2025-05-18,24.0
125,4,,2025-05-18,9.0
126,1,249,2025-05-27,31.8
127,5,750,2025-06-01,17.5
128,4,,2025-05-18,253.45
129,7,,2025-05-24,35.2
130,1,633,2025-05-14,30.8
131,10,,2025-05-31,102.62
132,5,291,2025-05-29,93.36
133,5,,2025-05-24,21.4
134,6,,2025-05-29,36.9
135,9,735,2025-05-12,1.2
136,4,,2025-05-06,30.7
137,4,,2025-05-26,9.6
138,10,,2025-05-20,74.95
139,2,,2025-05-14,238.86
140,7,,2025-05-13,28.39
141,6,,2025-05-15,35.58
142,3,,2025-05-14,172.18
143,5,,2025-05-24,26.8
144,2,,2025-05-15,59.29
145,9,234,2025-05-09,3.0
146,1,,2025-05-29,2.5
147,3,602,2025-05-30,21.0
148,3,,2025-05-13,39.2
149,9,636,2025-05-11,26.8
150,7,549,2025-05-08,14.1
151,7,,2025-05-19,55.16
152,6,,2025-05-27,8.5
153,2,,2025-05-20,38.3
154,2,,2025-05-12,18.8
155,1,,2025-06-01,68.18
156,9,,2025-05-28,119.64
157,4,986,2025-05-27,89.97
158,5,,2025-05-08,47.9
159,10,774,2025-05-17,8.2
160,4,,2025-05-20,26.4
